"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-06","MI","A+",10321,9854,0,467,,,4141,0,,855,6538482,0,,,6538482,,513,426576,395036,0,0,,,,,502895,197750,,0,6965058,0,378723,,,,,0,7041377,0
"2020-12-05","MI","A+",10321,9854,204,467,,,4141,0,,855,6538482,58590,,,6538482,,513,426576,395036,6308,0,,,,,502895,197750,,0,6965058,64898,378723,,,,,0,7041377,68207
"2020-12-04","MI","A+",10117,9661,82,456,,,4141,0,,855,6479892,58936,,,6479892,,513,420268,389032,9425,0,,,,,493278,165269,,0,6900160,68361,375457,,,,,0,6973170,68645
"2020-12-03","MI","A+",10035,9580,193,455,,,4175,0,,840,6420956,61820,,,6420956,,502,410843,380343,7957,0,,,,,483569,165269,,0,6831799,69777,373357,,,,,0,6904525,73467
"2020-12-02","MI","A+",9842,9405,83,437,,,4266,0,,837,6359136,38000,,,6359136,,509,402886,373197,7433,0,,,,,471922,165269,,0,6762022,45433,370666,,,,,0,6831058,43905
"2020-12-01","MI","A+",9759,9324,195,435,,,4310,0,,874,6321136,32742,,,6321136,,526,395453,366242,6511,0,,,,,466017,165269,,0,6716589,39253,369466,,,,,0,6787153,38421
"2020-11-30","MI","A+",9564,9134,97,430,,,4326,0,,851,6288394,92105,,,6288394,,531,388942,360449,10790,0,,,,,460338,165269,,0,6677336,102895,367228,,,,,0,6748732,106844
"2020-11-29","MI","A+",9467,9036,0,431,,,4097,0,,832,6196289,0,,,6196289,,472,378152,350021,0,0,,,,,445599,165269,,0,6574441,0,365318,,,,,0,6641888,0
"2020-11-28","MI","A+",9467,9036,110,431,,,4097,0,,832,6196289,52333,,,6196289,,472,378152,350021,8351,0,,,,,445599,165269,,0,6574441,60684,365318,,,,,0,6641888,59320
"2020-11-27","MI","A+",9357,8933,187,424,,,4097,0,,832,6143956,103826,,,6143956,,472,369801,341941,17368,0,,,,,438612,152267,,0,6513757,121194,362221,,,,,0,6582568,119731
